127.0.0.1 - - [30/Jul/2026 07:56:42] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:42] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:43] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:44] "GET /prompts/metadata-extraction.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:46] "GET /prompts/trade-classifier.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:46] "GET /prompts/document-intelligence.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:47] "GET /prompts/drawing-interpreter.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:47] "GET /prompts/quantity-surveyor.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:47] "GET /prompts/boq-generator.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:48] "GET /prompts/cost-estimator.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:49] "GET /prompts/quotation-generator.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:50] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:50] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:50] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:50] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:50] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:50] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:51] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:52] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:52] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:52] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:52] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:52] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:52] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:52] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:54] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:55] "GET /prompts/metadata-extraction.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:57] "GET /prompts/trade-classifier.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:56:57] "GET /prompts/document-intelligence.md HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:01] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:01] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:01] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:01] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:01] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:01] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:02] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:03] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:03] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:03] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:03] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:03] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:03] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:03] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:04] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:07] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:07] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:07] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:07] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:07] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:07] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:07] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:08] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:09] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:09] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:09] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:09] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:09] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:09] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:09] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 07:57:10] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:07:56] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:07:56] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:07:56] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:07:56] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:07:56] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:07:56] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:07:56] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:07:58] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:07:58] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:07:58] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:07:58] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:07:58] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:07:58] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:07:58] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:07:58] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:07:59] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:00] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:00] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:00] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:00] "GET /images/QuantisAI.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:00] "GET /js/pipeline.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:00] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:00] "GET /images/logolong.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:01] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:01] "GET /images/QuantisAIFavi.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:01] "GET /images/logolongDark.png HTTP/1.1" 200 -
127.0.0.1 - - [30/Jul/2026 08:08:01] "GET /images/QuantisAI.png HTTP/1.1" 200 -
